date,USDCNY
2018-01-31,6.2841
2018-02-28,6.328
2018-03-31,6.2726
2018-04-30,6.3325
2018-05-31,6.4096
2018-06-30,6.6171
2018-07-31,6.8038
2018-08-31,6.83
2018-09-30,6.868
2018-10-31,6.9737
2018-11-30,6.9558
2018-12-31,6.8755
2019-01-31,6.6958
2019-02-28,6.6912
2019-03-31,6.7112
2019-04-30,6.7347
2019-05-31,6.9027
2019-06-30,6.865
2019-07-31,6.8833
2019-08-31,7.1543
2019-09-30,7.1477
2019-10-31,7.0379
2019-11-30,7.0308
2019-12-31,6.9618
2020-01-31,6.9161
2020-02-29,6.9906
2020-03-31,7.0808
2020-04-30,7.0622
2020-05-31,7.1348
2020-06-30,7.0651
2020-07-31,6.9744
2020-08-31,6.8474
2020-09-30,6.7896
2020-10-31,6.6919
2020-11-30,6.576
2020-12-31,6.525
2021-01-31,6.4282
2021-02-28,6.473
2021-03-31,6.5518
2021-04-30,6.4749
2021-05-31,6.3674
2021-06-30,6.4566
2021-07-31,6.4609
2021-08-31,6.4604
2021-09-30,6.4434
2021-10-31,6.405
2021-11-30,6.364
2021-12-31,6.3726
2022-01-31,6.361
2022-02-28,6.3084
2022-03-31,6.3393
2022-04-30,6.608
2022-05-31,6.6715
2022-06-30,6.6981
2022-07-31,6.7433
2022-08-31,6.889
2022-09-30,7.1135
2022-10-31,7.3048
2022-11-30,7.0879
2022-12-31,6.8972
2023-01-31,6.754
2023-02-28,6.9325
2023-03-31,6.8676
2023-04-30,6.911
2023-05-31,7.11
2023-06-30,7.2513
2023-07-31,7.1426
2023-08-31,7.2582
2023-09-30,7.296
2023-10-31,7.3166
2023-11-30,7.136
2023-12-31,7.0999
2024-01-31,7.1673
2024-02-29,7.1977
2024-03-31,7.2203
2024-04-30,7.2401
2024-05-31,7.241
2024-06-30,7.2672
2024-07-31,7.2193
2024-08-31,7.09
2024-09-30,7.0176
2024-10-31,7.1178
2024-11-30,7.2423
2024-12-31,7.2993
2025-01-31,7.2422
2025-02-28,7.2828
2025-03-31,7.2567
2025-04-30,7.2706
2025-05-31,7.1991
2025-06-30,7.1636
2025-07-31,7.2002
2025-08-31,7.1304
2025-09-30,7.119
2025-10-31,7.1169
2025-11-30,7.0751
2025-12-31,6.9931
2026-01-31,6.951
2026-02-28,6.8579
2026-03-31,6.8961
